feature,n_win,n_loss,mean_win,mean_loss,med_win,med_loss,mw_p,cliffs_d
hd_mfi_wave_aligned,171,340,0.39766081871345027,0.48823529411764705,0.0,0.0,0.05276251020412946,-0.09057447540419672
h1_wt2_wave_age,171,340,6.713450292397661,6.211764705882353,6.0,5.0,0.11481931911544525,0.08489852081183358
x_mfi_div_price,72,151,0.8860043371518265,1.0021498298984803,0.5203863765421677,0.7655339136242584,0.12920951545853085,-0.1258278145695364
x_h4_mfi_wave,171,340,0.35809773814456497,-2.2709105934034284,0.7901120417897565,-3.6384265334516988,0.17818957703059835,0.0729618163054695
x_hd_wt2_wave,171,340,2.909629725673399,-2.839648293539232,-2.581122909414574,-13.71686037487385,0.20697334268547485,0.0683866529067767
h4_wt2_wave_aligned,171,340,0.29239766081871343,0.2411764705882353,0.0,0.0,0.21255187208828275,0.05122119023047822
x_h1_wt2,171,340,46.086402232889924,48.332479177635214,48.24147177359372,52.44710419592211,0.23762292219983172,-0.0640006879944961
x_trig_wt2,171,340,50.06255936922104,51.02100392942882,52.69444228364369,53.35386150672733,0.2459210060100766,-0.06288269693842452
gap_bars,171,340,2.9298245614035086,3.2147058823529413,2.0,3.0,0.25581272207103356,-0.06080151358789132
x_mfi_div_delta,171,340,5.668864323291659,5.0804618979890925,3.9610462198694343,3.5782566533423896,0.27578452271751985,0.05906432748538015
x_hd_wt2,171,340,5.577652665948927,1.4401189869104742,10.109105526181585,3.1043278444548124,0.30502634899358694,0.05558995528035782
mfi_anchor_age,171,340,15.730994152046783,16.779411764705884,12.0,12.0,0.34174917257954973,-0.05147918816649466
x_trig_wt1,171,340,46.6995815755367,47.70052007458015,49.30882717148937,50.65690574574118,0.3721902227256304,-0.048366013071895475
x_hd_mfi,171,340,3.0196128849359614,1.1432825261180763,2.7744747410058146,2.892939667908032,0.37491662074045784,0.048090815273477805
x_mfi_pivot_osc,171,340,15.57737897148658,16.877051152295934,15.700093645316738,16.32735502765317,0.382136981453866,-0.047368421052631615
x_trig_mfi,171,340,14.980390967763684,16.182052448676163,14.642243364043056,16.068489616296773,0.39753646162011413,-0.04585483316133476
x_h1_wt2_wave,171,340,7.977556446902584,11.40795084214669,10.066997526787317,16.14260232201478,0.4461175887402926,-0.041296869625042976
h4_trend_aligned,171,340,0.34502923976608185,0.37941176470588234,0.0,0.0,0.44762138656385475,-0.03438252493980043
x_h4_wt2_wave,171,340,-5.356431082373967,-8.273036152823593,-6.449115582778969,-14.55017553305269,0.5240313700591838,0.03453732370141038
x_wt_div_delta,171,340,15.91574033561761,16.005954938377577,12.233156831436261,11.919349477933594,0.530670882586793,0.033986928104575265
x_h4_mfi,171,340,5.496416045864692,4.2873914112777385,6.746817010601119,3.2516361578618214,0.5310868642186868,0.03395252837977303
x_h1_mfi_wave,171,340,4.005778261340503,2.9219854927414906,4.19173369156773,2.064359829326502,0.5591355481538214,0.03166494668042663
hd_wt2_wave_aligned,171,340,0.4853801169590643,0.4588235294117647,0.0,0.0,0.5708498432814448,0.026556587547299726
x_mfi_anchor_osc,171,340,21.246243294778242,21.957513050285026,19.62734621052639,21.189844014728784,0.5713731038424277,-0.03068455452356378
x_h1_mfi,171,340,10.65145316310983,11.14587930988206,10.099106516865952,10.70465471836439,0.5951228323423756,-0.028809769521843775
x_hd_mfi_wave,171,340,1.9566782986008955,1.0482103069015742,0.961991334144009,0.35964353587403197,0.6537356197314874,0.024320605435156573
x_wt_pivot_osc,171,340,56.6629076629402,56.23371928346197,57.02874149103325,58.74769509241022,0.6569517489606054,-0.02407980736154114
x_h4_wt2,171,340,17.42393208687626,17.573042061031877,16.815445301323777,23.808349590586584,0.7636934280228007,-0.016305469556243568
wt_anchor_age,171,340,28.485380116959064,27.305882352941175,21.0,21.0,0.813711840699048,0.012779497764017878
atr_pct,171,340,0.0059605657821324015,0.00619011749403443,0.005576358795213985,0.005574791110519613,0.901215030270703,-0.0067423460612314745
hd_trend_aligned,171,340,0.43859649122807015,0.4441176470588235,0.0,0.0,0.9059946705590947,-0.005521155830753299
h1_wt2_wave_aligned,171,340,0.23391812865497075,0.22941176470588234,0.0,0.0,0.9096227794641477,0.004506363949088321
x_wt_div_price,99,189,0.9522628686688338,1.0267689124776647,0.6141725057845003,0.5420880789147113,0.9193136734475371,-0.0073218962107850505
h4_wt2_wave_age,171,340,6.128654970760234,6.297058823529412,5.0,5.0,0.9243855664446482,0.005125558995528134
x_wt_anchor_osc,171,340,72.57864799855781,72.23967422183955,73.66791259553897,72.89236643072445,0.9642971732403617,0.0024423804609563504
